text,category,urgency,source
Discount apply hua tha par final bill me reflect nahi hua. Support ko contact kiya but koi update nahi.,Billing_Invoice,High,Website
App crash ho rahi hai payment ke time. Ref TRK7838382.,App_Bug,High,Call
Invoice me extra charge add ho gaya. Order ORD998348. App me tracking bhi galat show ho rahi hai.,Billing_Invoice,Low,Call
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD611945. Refund bhi abhi tak process nahi hua.",Wrong_Product,Medium,Call
Screen cracked thi delivery ke time.,Damaged_Product,High,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. Refund bhi abhi tak process nahi hua.,Seller_Fraud,High,Call
3 baar complaint ki but koi proper response nahi mila. Refund bhi abhi tak process nahi hua.,Customer_Service,High,App
Box kholte hi product broken nikla. Order ORD890870.,Damaged_Product,High,Call
App crash ho rahi hai payment ke time. Ref TRK5299055.,App_Bug,Low,App
Box kholte hi product broken nikla. Order ORD426147.,Damaged_Product,Low,Call
Invoice me extra charge add ho gaya. Order ORD179688.,Billing_Invoice,High,App
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Low,Call
"Tracking TRK8713146 update nahi ho raha, delivery date cross ho gayi. Refund bhi abhi tak process nahi hua.",Order_Not_Delivered,Medium,Call
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Call
Completely different product receive hua.,Wrong_Product,High,Email
3 baar complaint ki but koi proper response nahi mila. App me tracking bhi galat show ho rahi hai.,Customer_Service,Medium,Website
Login karte hi something went wrong error aa raha hai.,App_Bug,High,Email
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD300845.,Customer_Service,Low,Email
UPI payment deduct ho gaya par order place nahi hua. Txn TXN34084236. Support ko contact kiya but koi update nahi.,Payment_Issue,High,App
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD768854. App me tracking bhi galat show ho rahi hai.",Wrong_Product,Medium,Website
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,App
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,Medium,Website
Screen cracked thi delivery ke time.,Damaged_Product,Medium,App
UPI payment deduct ho gaya par order place nahi hua. Txn TXN98641164. Support ko contact kiya but koi update nahi.,Payment_Issue,Medium,Website
"Tracking TRK8883823 update nahi ho raha, delivery date cross ho gayi. Refund bhi abhi tak process nahi hua.",Order_Not_Delivered,Medium,Call
"Order ORD377405 ko 10 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,Low,Website
"Order ORD931131 ko 6 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Medium,Email
Login karte hi something went wrong error aa raha hai. App me tracking bhi galat show ho rahi hai.,App_Bug,Medium,Email
"Order ORD807053 ko 11 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,Medium,Call
Return approve hua but pickup schedule nahi ho raha. Invoice INV765620.,Refund_Return,High,Email
App crash ho rahi hai payment ke time. Ref TRK7906258.,App_Bug,High,App
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Call
Invoice me extra charge add ho gaya. Order ORD643623.,Billing_Invoice,High,Email
Completely different product receive hua.,Wrong_Product,High,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD679077.,Customer_Service,High,Website
Completely different product receive hua. Support ko contact kiya but koi update nahi.,Wrong_Product,High,Website
Express delivery li thi fir bhi delay hua.,Late_Delivery,High,Email
Express delivery li thi fir bhi delay hua.,Late_Delivery,Medium,Call
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Email
Screen cracked thi delivery ke time.,Damaged_Product,Medium,App
Express delivery li thi fir bhi delay hua.,Late_Delivery,Medium,Website
"Tracking TRK7668663 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Low,Call
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Low,Website
Screen cracked thi delivery ke time.,Damaged_Product,High,App
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,Website
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. Refund bhi abhi tak process nahi hua.,Seller_Fraud,Medium,App
Refund 10 din se pending hai.,Refund_Return,High,Call
Login karte hi something went wrong error aa raha hai. App me tracking bhi galat show ho rahi hai.,App_Bug,Medium,Email
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,App
Refund 10 din se pending hai.,Refund_Return,High,Website
App crash ho rahi hai payment ke time. Ref TRK2630140.,App_Bug,Medium,Email
Box kholte hi product broken nikla. Order ORD409445. Refund bhi abhi tak process nahi hua.,Damaged_Product,Medium,Email
Express delivery li thi fir bhi delay hua.,Late_Delivery,Medium,App
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD809176. App me tracking bhi galat show ho rahi hai.,Seller_Fraud,High,App
Discount apply hua tha par final bill me reflect nahi hua. Support ko contact kiya but koi update nahi.,Billing_Invoice,Medium,Email
Return approve hua but pickup schedule nahi ho raha. Invoice INV766269.,Refund_Return,High,App
Amount debit hua lekin confirmation nahi aaya. App me tracking bhi galat show ho rahi hai.,Payment_Issue,High,Call
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD535037.",Wrong_Product,Low,App
App crash ho rahi hai payment ke time. Ref TRK8460758.,App_Bug,High,Email
"Tracking TRK3049499 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,App
"Tracking TRK3112652 update nahi ho raha, delivery date cross ho gayi. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,Medium,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD926952.,Customer_Service,Medium,App
App crash ho rahi hai payment ke time. Ref TRK1249314.,App_Bug,High,App
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,App
Invoice me extra charge add ho gaya. Order ORD744986.,Billing_Invoice,Medium,App
"Tracking TRK7738019 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,App
Customer support sirf ticket close kar raha hai without solution. Ref ORD168872.,Customer_Service,Medium,Call
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,High,Website
Invoice me extra charge add ho gaya. Order ORD533914.,Billing_Invoice,High,Call
3 baar complaint ki but koi proper response nahi mila. Seller bhi reply nahi kar raha.,Customer_Service,High,App
Screen cracked thi delivery ke time.,Damaged_Product,Medium,App
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,Website
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. Refund bhi abhi tak process nahi hua.,Seller_Fraud,Medium,Call
Promised date se 6 din late deliver hua.,Late_Delivery,High,Email
Customer support sirf ticket close kar raha hai without solution. Ref ORD250210.,Customer_Service,High,Website
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,App
Promised date se 6 din late deliver hua.,Late_Delivery,High,Call
Invoice me extra charge add ho gaya. Order ORD891615. App me tracking bhi galat show ho rahi hai.,Billing_Invoice,Medium,Email
"Tracking TRK1919088 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,Email
Customer support sirf ticket close kar raha hai without solution. Ref ORD108105. Support ko contact kiya but koi update nahi.,Customer_Service,Medium,Email
"Order ORD557409 ko 7 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Medium,Call
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Low,App
Invoice me extra charge add ho gaya. Order ORD355135. Refund bhi abhi tak process nahi hua.,Billing_Invoice,Medium,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD180089.,Customer_Service,Low,Email
Customer support sirf ticket close kar raha hai without solution. Ref ORD347745. Support ko contact kiya but koi update nahi.,Customer_Service,Medium,App
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,Medium,Email
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD591699.,Seller_Fraud,High,App
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Low,App
Login karte hi something went wrong error aa raha hai. App me tracking bhi galat show ho rahi hai.,App_Bug,Medium,App
Discount apply hua tha par final bill me reflect nahi hua. App me tracking bhi galat show ho rahi hai.,Billing_Invoice,Low,Website
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,Email
"Order ORD685066 ko 12 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Medium,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD466813. Seller bhi reply nahi kar raha.,Customer_Service,High,Call
Login karte hi something went wrong error aa raha hai.,App_Bug,High,Email
"Tracking TRK4593556 update nahi ho raha, delivery date cross ho gayi. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,High,Email
Promised date se 7 din late deliver hua.,Late_Delivery,Medium,Call
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD971728.,Seller_Fraud,Medium,Website
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,Call
Return approve hua but pickup schedule nahi ho raha. Invoice INV584106.,Refund_Return,High,Website
Box kholte hi product broken nikla. Order ORD362147.,Damaged_Product,High,App
Customer support sirf ticket close kar raha hai without solution. Ref ORD386042. Support ko contact kiya but koi update nahi.,Customer_Service,Medium,Email
Refund 10 din se pending hai.,Refund_Return,High,Website
"Order ORD979940 ko 4 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. App me tracking bhi galat show ho rahi hai.",Order_Not_Delivered,Medium,Website
Screen cracked thi delivery ke time. Support ko contact kiya but koi update nahi.,Damaged_Product,Medium,Call
"Tracking TRK6052478 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,Call
"Tracking TRK9993490 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,Email
Discount apply hua tha par final bill me reflect nahi hua. Refund bhi abhi tak process nahi hua.,Billing_Invoice,High,App
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Website
Box kholte hi product broken nikla. Order ORD908977.,Damaged_Product,Medium,Website
Express delivery li thi fir bhi delay hua. App me tracking bhi galat show ho rahi hai.,Late_Delivery,High,Website
"Order ORD143941 ko 8 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Medium,Email
"Order ORD400009 ko 12 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,High,Email
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,Email
Screen cracked thi delivery ke time. Seller bhi reply nahi kar raha.,Damaged_Product,High,Email
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Low,Call
Customer support sirf ticket close kar raha hai without solution. Ref ORD178686. Seller bhi reply nahi kar raha.,Customer_Service,High,Call
"Order ORD347459 ko 11 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,Medium,Email
Invoice me extra charge add ho gaya. Order ORD701800.,Billing_Invoice,High,App
"Order ORD623285 ko 3 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. Refund bhi abhi tak process nahi hua.",Order_Not_Delivered,Medium,Website
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,Call
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Low,Website
App crash ho rahi hai payment ke time. Ref TRK7064832.,App_Bug,Medium,Website
Box kholte hi product broken nikla. Order ORD478427.,Damaged_Product,High,Email
Discount apply hua tha par final bill me reflect nahi hua. Refund bhi abhi tak process nahi hua.,Billing_Invoice,Medium,Call
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Low,App
Completely different product receive hua.,Wrong_Product,Medium,Email
Express delivery li thi fir bhi delay hua.,Late_Delivery,High,Website
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD279516.",Wrong_Product,High,App
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,High,Email
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,Website
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,Email
UPI payment deduct ho gaya par order place nahi hua. Txn TXN85383550.,Payment_Issue,Medium,Email
Invoice me extra charge add ho gaya. Order ORD201514.,Billing_Invoice,Low,Website
Screen cracked thi delivery ke time.,Damaged_Product,High,App
"Tracking TRK8671057 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,High,Call
Completely different product receive hua. Refund bhi abhi tak process nahi hua.,Wrong_Product,Medium,Call
3 baar complaint ki but koi proper response nahi mila. App me tracking bhi galat show ho rahi hai.,Customer_Service,Medium,Email
Box kholte hi product broken nikla. Order ORD234913.,Damaged_Product,High,Website
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,Medium,Call
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD443897.,Seller_Fraud,High,Email
Completely different product receive hua.,Wrong_Product,High,Call
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD725905.",Wrong_Product,Medium,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha. App me tracking bhi galat show ho rahi hai.,Seller_Fraud,High,Website
Invoice me extra charge add ho gaya. Order ORD530311.,Billing_Invoice,Medium,App
App crash ho rahi hai payment ke time. Ref TRK6453426.,App_Bug,Low,Call
Refund 10 din se pending hai.,Refund_Return,High,Website
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,Call
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,High,Email
UPI payment deduct ho gaya par order place nahi hua. Txn TXN20607151.,Payment_Issue,Medium,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,App
App crash ho rahi hai payment ke time. Ref TRK4906349.,App_Bug,Medium,Website
"Order ORD526673 ko 5 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,High,Email
App crash ho rahi hai payment ke time. Ref TRK4896008.,App_Bug,Medium,App
Amount debit hua lekin confirmation nahi aaya. Seller bhi reply nahi kar raha.,Payment_Issue,Low,Email
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,High,Call
App crash ho rahi hai payment ke time. Ref TRK6655803.,App_Bug,High,Call
Express delivery li thi fir bhi delay hua.,Late_Delivery,Medium,Website
"Tracking TRK8494978 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,App
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,High,Email
Login karte hi something went wrong error aa raha hai. Refund bhi abhi tak process nahi hua.,App_Bug,High,Call
Box kholte hi product broken nikla. Order ORD898867.,Damaged_Product,Medium,Email
"Order ORD164758 ko 10 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila. Refund bhi abhi tak process nahi hua.",Order_Not_Delivered,Low,Call
"Order ORD851742 ko 9 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,Medium,Call
Invoice me extra charge add ho gaya. Order ORD685941.,Billing_Invoice,Medium,Website
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD544278.",Wrong_Product,Low,App
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Low,Call
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Low,Website
Login karte hi something went wrong error aa raha hai. Support ko contact kiya but koi update nahi.,App_Bug,Medium,App
Amount debit hua lekin confirmation nahi aaya. Refund bhi abhi tak process nahi hua.,Payment_Issue,High,Website
Return approve hua but pickup schedule nahi ho raha. Invoice INV744793. Seller bhi reply nahi kar raha.,Refund_Return,Medium,Call
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD356622.",Wrong_Product,Medium,App
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,High,Website
UPI payment deduct ho gaya par order place nahi hua. Txn TXN18181595.,Payment_Issue,Low,Website
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,Email
Login karte hi something went wrong error aa raha hai.,App_Bug,Low,Email
Promised date se 8 din late deliver hua.,Late_Delivery,Medium,Website
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,High,Website
"Tracking TRK1663497 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,Call
Original bola tha lekin duplicate nikla. Seller response bhi nahi de raha.,Seller_Fraud,Medium,Website
App crash ho rahi hai payment ke time. Ref TRK5015307.,App_Bug,Medium,Email
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,High,Website
Discount apply hua tha par final bill me reflect nahi hua. App me tracking bhi galat show ho rahi hai.,Billing_Invoice,High,Website
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,High,Call
Amount debit hua lekin confirmation nahi aaya. App me tracking bhi galat show ho rahi hai.,Payment_Issue,High,App
"Maine headphones order kiye the, wallet deliver kar diya. Order ORD957730. Support ko contact kiya but koi update nahi.",Wrong_Product,High,Website
"Tracking TRK2014184 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Low,Call
"Tracking TRK1280618 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,High,Call
Box kholte hi product broken nikla. Order ORD212214. Refund bhi abhi tak process nahi hua.,Damaged_Product,Medium,Email
Box kholte hi product broken nikla. Order ORD491172.,Damaged_Product,High,App
App crash ho rahi hai payment ke time. Ref TRK7799441.,App_Bug,Medium,Website
"Tracking TRK6557798 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,High,Call
Customer support sirf ticket close kar raha hai without solution. Ref ORD817675. Refund bhi abhi tak process nahi hua.,Customer_Service,High,Website
Completely different product receive hua.,Wrong_Product,Low,Email
Invoice me extra charge add ho gaya. Order ORD928897. Support ko contact kiya but koi update nahi.,Billing_Invoice,Medium,Email
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,Website
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,Email
Box kholte hi product broken nikla. Order ORD186023. App me tracking bhi galat show ho rahi hai.,Damaged_Product,High,App
"Tracking TRK7038413 update nahi ho raha, delivery date cross ho gayi. Support ko contact kiya but koi update nahi.",Order_Not_Delivered,High,Call
"Order ORD471106 ko 7 din ho gaye, status out for delivery pe hi atka hai, parcel abhi tak nahi mila.",Order_Not_Delivered,High,Call
Invoice me extra charge add ho gaya. Order ORD860053.,Billing_Invoice,High,Email
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,App
Customer support sirf ticket close kar raha hai without solution. Ref ORD855917.,Customer_Service,High,App
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,Website
Customer support sirf ticket close kar raha hai without solution. Ref ORD602278. App me tracking bhi galat show ho rahi hai.,Customer_Service,Low,Website
3 baar complaint ki but koi proper response nahi mila. Support ko contact kiya but koi update nahi.,Customer_Service,Medium,App
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,Call
App crash ho rahi hai payment ke time. Ref TRK6080688. App me tracking bhi galat show ho rahi hai.,App_Bug,Medium,App
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,Email
App crash ho rahi hai payment ke time. Ref TRK5164624. Seller bhi reply nahi kar raha.,App_Bug,Medium,Call
Amount debit hua lekin confirmation nahi aaya. Support ko contact kiya but koi update nahi.,Payment_Issue,Medium,Call
Invoice me extra charge add ho gaya. Order ORD461724.,Billing_Invoice,Low,App
Promised date se 5 din late deliver hua.,Late_Delivery,High,App
Discount apply hua tha par final bill me reflect nahi hua. Refund bhi abhi tak process nahi hua.,Billing_Invoice,Medium,Website
Return approve hua but pickup schedule nahi ho raha. Invoice INV678719.,Refund_Return,Low,Website
Box kholte hi product broken nikla. Order ORD295440.,Damaged_Product,Medium,Call
Invoice me extra charge add ho gaya. Order ORD315780. Support ko contact kiya but koi update nahi.,Billing_Invoice,High,Website
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,App
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,Email
"Tracking TRK4070977 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Medium,Call
Discount apply hua tha par final bill me reflect nahi hua. Support ko contact kiya but koi update nahi.,Billing_Invoice,High,Call
Login karte hi something went wrong error aa raha hai.,App_Bug,Medium,Call
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Medium,Website
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,App
Completely different product receive hua.,Wrong_Product,Low,App
Box kholte hi product broken nikla. Order ORD412170.,Damaged_Product,High,App
Box kholte hi product broken nikla. Order ORD320073.,Damaged_Product,Medium,Website
Box kholte hi product broken nikla. Order ORD697766.,Damaged_Product,High,Email
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,Medium,App
UPI payment deduct ho gaya par order place nahi hua. Txn TXN29628462.,Payment_Issue,Medium,Call
Completely different product receive hua.,Wrong_Product,Low,App
Discount apply hua tha par final bill me reflect nahi hua.,Billing_Invoice,Low,App
Screen cracked thi delivery ke time.,Damaged_Product,Low,Website
Completely different product receive hua. App me tracking bhi galat show ho rahi hai.,Wrong_Product,Medium,App
"Tracking TRK3084353 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,Low,Call
Seller ne fake product bhej diya aur return bhi reject kar diya. Order ORD781571.,Seller_Fraud,High,Email
App crash ho rahi hai payment ke time. Ref TRK7649508.,App_Bug,High,App
"Tracking TRK3226333 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,High,Email
Screen cracked thi delivery ke time.,Damaged_Product,Medium,App
"Tracking TRK3300647 update nahi ho raha, delivery date cross ho gayi.",Order_Not_Delivered,High,App
App crash ho rahi hai payment ke time. Ref TRK6891952.,App_Bug,Low,Call
Promised date se 11 din late deliver hua.,Late_Delivery,High,Call
Customer support sirf ticket close kar raha hai without solution. Ref ORD359822.,Customer_Service,Medium,Email
Box kholte hi product broken nikla. Order ORD989079.,Damaged_Product,Medium,Email
App crash ho rahi hai payment ke time. Ref TRK7474085.,App_Bug,High,App
Amount debit hua lekin confirmation nahi aaya.,Payment_Issue,Medium,Call
UPI payment deduct ho gaya par order place nahi hua. Txn TXN45189912. Seller bhi reply nahi kar raha.,Payment_Issue,Low,Call
Completely different product receive hua.,Wrong_Product,High,App
Customer support sirf ticket close kar raha hai without solution. Ref ORD947312.,Customer_Service,Medium,App
3 baar complaint ki but koi proper response nahi mila.,Customer_Service,High,App
Customer support sirf ticket close kar raha hai without solution. Ref ORD225245. Refund bhi abhi tak process nahi hua.,Customer_Service,Medium,Email
