complaint_id,complaint_text,category,sentiment,priority,language_ratio
CMP000018,"kindly check, exchange request me size change nahi ho raha lekin maine 2 baar complaint raise kiya but same canned reply mil rha h 2499 rupaye ka order tha order no 507746 jaldi fix kro",Exchange,Negative,High,60% Hindi / 40% English
CMP000019,"madam, tracking page open hi nahi hota still app pe jo dikhaya gaya tha wo reality se match nahi karta jaldi fix kro",Tracking Issue,Negative,High,60% Hindi / 40% English
CMP000020,"please look into, mujhe Patna se order kiya tha packing opened lag rahi thi aur item गायब tha order no 126925 ☹️ ab kya karu",Missing Item,Negative,Critical,65% Hindi / 35% English
CMP000021,mujhe Ahmedabad se order kiya tha size selected hamesha sold out bol deta h lekin order summary aur actual item me mismatch hai 3499 rupaye ka order tha ab kya karu,Stock Issue,Negative,Medium,35% Hindi / 65% English
CMP000022,"plz help, return pickup 2 baar reschedule hui order no 931450 thanks but no thanks",Return Pickup,Negative,Critical,55% Hindi / 45% English
CMP000023,"bhai,  replacement item bhi same issue ke saath aaya and delivery boy ne call bhi nahi kiya tracking id TRK6071208 order no 410636 😭 thanks but no thanks!!",Exchange,Negative,High,55% Hindi / 45% English
CMP000024,"plz  help, overall experience bahut inconsistent raha fir bhi order summary aur actual item me mismatch hai 1499 rupaye ka order tha need immediate help??",Other,Negative,High,60% Hindi / 40% English
CMP000025,"sir,  amount 499 cut hua but transaction history me mismatch hai lekin mera time aur paisa dono waste hua ☹️ plzz resolve this",Payment Issue,Negative,High,50% Hindi / 50% English
CMP000026,"hello,  mujhe Gurgaon se order kiya tha search results bilkul random aa rahe hain aur delivery boy ne call bhi nahi kiya 399 rupaye ka order tha waiting for reply??",Search/Filter,Negative,Low,40% Hindi / 60% English
CMP000027,"kindly  check, mujhe Pune se order kiya tha subscription plan change nahi ho pa raha very disappointing",Subscription,Negative,High,45% Hindi / 55% English
CMP000028,"urgent, return pickup 2 baar reschedule hui thanks but no thanks",Return Pickup,Negative,Critical,55% Hindi / 45% English
CMP000029,"plz  look into, mujhe Noida se order kiya tha email pe 3 baar likha, reply bas auto-generated aaya fir bhi maine 2 baar complaint raise kiya but same canned reply mil rha h tracking id TRK6338112 very disappointing...",Customer Support,Negative,Critical,70% Hindi / 30% English
CMP000030,"yrr, pickup code generate hi nahi hua 1499 rupaye ka order tha ab kya karu!!",Return Pickup,Negative,Critical,60% Hindi / 40% English
CMP000031,"please look into, mujhe Surat se order kiya tha pickup boy aaya hi nahi aur request cancel ho gayi tracking id TRK5040453 need immediate help",Return,Negative,Critical,55% Hindi / 45% English
CMP000032,offer page pe cashback dikhaya aur baad me gayab 1999 rupaye ka order tha order no 699704 jaldi fix kro!,Cashback,Negative,Low,55% Hindi / 45% English
CMP000033,"kindly check, cart update karte time app hang ho jati hai hope you understaur",App Bug,Negative,High,35% Hindi / 65% English
CMP000034,"please look into, packaging bahut poor thi aur inner box crushed tha fir bhi delivery boy ne call bhi nahi kiya 🙄 hope you understand",Packaging,Negative,High,65% Hindi / 35% English
CMP000035,"plz help, bottle leak ho rahi thi aur sab gaura ho gaya 3499 rupaye ka order tha ☹️ plz expedite?",Damaged Product,Negative,Critical,60% Hindi / 40% English
CMP000036,mujhe  Ranchi se order kiya tha customer care par call kiya but koi response nahi tab bhi app pe jo dikhaya gaya tha wo reality se match nahi karta 2499 rupaye ka order tha order no 794963 🤦 ab kya karu,Customer Support,Negative,Medium,50% Hindi / 50% English
CMP000037,"dear team, pickup boy aaya hi nahi aur request cancel ho gayi fir bhi delivery boy ne call bhi nahi kiya thans but no thanks...",Return,Negative,Critical,55% Hindi / 45% English
CMP000038,"plz look into, saved item open karte hi disappear ho jata h but app pe jo dikhaya gaya tha wo reality se match nahi karta thanks but no thanks??",Wishlist,Neutral,Medium,50% Hindi / 50% English
CMP000039,"plz look into, product mismatch hai aur seller ne ignore kar diya isko seriously lo",Wrong Product,Negative,High,55% Hindi / 45% English
CMP000040,"bhai, mujhe Bhopal se order kiya tha wishlist suggestions irrelevant aa rahi hain still order summary aur actual item me mismatch hai very disappointing!!",Wishlist,Neutral,Medium,35% Hindi / 65% English
CMP000041,"dear team, same traking number pe multiple parcels dikh rahe hain aur delivery boy ne call bhi nahi kiya tracking id TRK8416270 🥲 isko seriously lo",Fraud/Scam,Negative,Critical,50% Hindi / 50% English
CMP000042,"plz  look into, app frequently lag kar rahi hai 💔 isko seriously lo!!",App Performance,Negative,High,30% Hindi / 70% English
CMP000043,"urgent, card charge hua but app me failed dikha rha h tab bhi chat support me sirf bot hi bot hai, koi live agent nahi very disappointing",Payment Issue,Negative,High,60% Hindi / 40% English
CMP000044,"dear team, wallet offer claim nahi ho raha fir bhi kisi ne update dene ki bhi zarurat nahi samjhi 😤 need immediate help!!",Cashback,Negative,Medium,45% Hindi / 55% English
CMP000045,"dear team, support sirf wait bol rha h aur issue solve nahi and details me bola tha original quality, par aisa laga locaal copy h 1999 rupaye ka order tha 🥲 please expedite!!",Refund,Negative,High,55% Hindi / 45% English
CMP000046,image preview freeze ho jati hai 599 rupaye ka order tha 😤 plzz resolve this,App Performance,Negative,Medium,25% Hindi / 75% English
CMP000047,discount  ke baad bhi amount expected se zyada aaya 599 rupaye ka order tha isko seriously lo??,Price Mismatch,Negative,High,55% Hindi / 45% English
CMP000048,"maddam, mujhe Bhopal se order kiya tha card charge hua but app me failed dikha rha h order no 127965 😤 jaldi fix kro?",Payment Issue,Negative,High,50% Hindi / 50% English
CMP000049,"kindly check, size 10 ke jagah galat size bhej diya fir bhi mera time aur paisa dono waste hua 1999 rupaye ka order tha 😭 plz expedite",Wrong Product,Negative,Medium,55% Hindi / 45% English
CMP000050,"madam, subscription plan change nahi ho pa raha aur details me bola tha original quality, par aisa laga local copy h 999 rupaye ka order tha plzz resolve this!",Subscription,Negative,High,45% Hindi / 55% English
CMP000051,"bhai, support, delivery aur app sab ek sath problem kar rahe h 😑 hope you understaur",Other,Negative,Low,50% Hindi / 50% English
CMP000052,"team, mujhe Noida se order kiya tha size selected hamesha sold out bol deta h 💔 need immediate help??",Stock Issue,Negative,Medium,40% Hindi / 60% English
CMP000053,"hello,  message kare pe seller reply hi nahi karta 😭 please expedite",Seller Complaint,Negative,High,50% Hindi / 50% English
CMP000054,reward points vanish ho gaye order no 994253 need immediate help,Cashback,Negative,Low,55% Hindi / 45% English
CMP000055,"please  look into, wishlist me add to ho gaya but sync nahi hua tab bhi kisi ne update dene ki bhi zarurat nahi samjhi 3499 rupaye ka order tha 🥲 plzz resolve this...",Wishlist,Neutral,Low,35% Hindi / 65% English
CMP000056,"sir,  login screen loop me atak jata hai fir bhi parcel ka status 48 ghante se same hai plz expedite",App Bug,Negative,Medium,25% Hindi / 75% English
CMP000057,"mujhe  Surat se order kiya tha courier staff ne wrong address bolke return mark kar diya aur details me bola tha original quality, par aisa laga local copy h waitng for reply",Courier Experience,Negative,High,60% Hindi / 40% English
CMP000058,"bhai,  refund ke bina return close ho gaya but kisi ne update dene ki bhi zarurat nahi samjhi 499 rupaye ka order tha plzz resolve this",Return,Negative,High,65% Hindi / 35% English
CMP000059,"kindly  checck, refund ticket T82512 open hai par koi update nahi aur chat support me sirf bot hi bot hai, koi live agent nahi need immediate help...",Refund,Negative,High,65% Hindi / 35% English
CMP000060,"urgent, cashback offer terms clear nahi the stll maine 2 baar complaint raise kiya but same canned reply mil rha h need immediate help!!",Coupon Issue,Negative,Low,55% Hindi / 45% English
CMP000061,"urgent,  return approve hua fir bhi paisa stuck h waiting for reply",Refund,Negative,Critical,65% Hindi / 35% English
CMP000062,mujhe Mumbai se order kiya tha pickup boy aaya hi nahi aur request cancel ho gayi 1299 rupye ka order tha 💔 thanks but no thanks,Return,Negative,Critical,65% Hindi / 35% English
CMP000063,"sir,  mujhe Ahmedabad se order kiya tha membership auto-renew ho gayi bina permission but delivery boy ne call bhi nahi kiya 799 rupaye ka order tha tracking id TRK2686863 isko seriously lo",Subscription,Negative,High,35% Hindi / 65% English
CMP000064,"plz help, mujhe Pune se order kiya tha accessories missing the, charger aur cable dono nahi mile 3499 rupaye ka order tha tracking id TRK1628578 thanks but no thanks??",Missing Item,Negative,High,55% Hindi / 45% English
CMP000065,"madam, mujhe Lucknow se order kiya tha tracking page open hi nahi hota still details me bola tha original quality, par aisa laga local copy h waiting for reply",Tracking Issue,Negative,High,60% Hindi / 40% English
CMP000066,"plz look into, mujhe Ranchi se order kiya tha pickup boy aaya hi nahi aur request cancel ho gayi fir bhi chat support me sirf bot hi bot hai, koi live agent nahi trakig id TRK7976731 ab kya karu??",Return,Negative,High,65% Hindi / 35% English
CMP000067,"dear team, account lock ho gaya bina reason 999 rupaye ka order tha plzz resolve this",Account/Login,Negative,Medium,40% Hindi / 60% English
CMP000068,seal propeer nahi tha 🙄 thanks but no thanks...,Packaging,Negative,Medium,65% Hindi / 35% English
CMP000069,"team, mujhe Nagpur se order kiya tha return approve hua fir bhi paisa stuck h tab bhi details me bola tha original quality, par aisa laga local copy h tracking id TRK49311560 ab kya karu",Refund,Negative,High,65% Hindi / 35% English
CMP000070,"hello,  sceen pe scratch hai aur corner dent hai aur parcel ka status 48 ghante se same hai order no 891062 isko seriously lo!!",Damaged Product,Negative,Critical,60% Hindi / 40% English
CMP000071,notify me click kiya tha but kabhi update nahi aaya fir bhi mera time aur paisa dono waste hua thanks but no thanks,Stock Issue,Negative,Low,35% Hindi / 65% English
CMP000072,"plz help, mujhe Ranchi se order kiya tha filter apply karne ke baad bhi same products dikhte hain still details me bola tha original quality, par aisa laga local copy h waiting for reply",Search/Filter,Negative,Medium,40% Hindi / 60% English
CMP000073,"bhai,  return approvve hua fir bhi paaisa stuck h tracking id TRK3533857 plz expedite??",Refund,Negative,High,55% Hindi / 45% English
CMP000074,"plz help, account lock ho gaya bina reason tab bhi parcel ka status 48 ghante se same hai oder no 817269 jaldi fix kro",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP000075,"hello,  refund 399 ka promise kiya tha but abhi tak nahi aaya aur chat support me sirf bot hi bot hai, koi live agent nahi 😭 thanks but no thanks",Refund,Negative,High,55% Hindi / 45% English
CMP000076,"yrr, mujhe Patna se order kiya tha message karne pe seller reply hi nahi karta 2499 rupaye ka order tha 💔 plzz resolve this",Seller Complaint,Negative,Critical,60% Hindi / 40% English
CMP000077,"sir,  mujhe Indore se oder kiya tha promo code invalid bol rha h though code sahi tha lekin parcel ka status 48 ghante se same hai ⚠️ need immediate help",Coupon Issue,Negative,Medium,45% Hindi / 55% English
CMP000078,"sir, free delivery offer apply nahi hua isko seriously lo",Coupon Issue,Negative,Medium,55% Hindi / 45% English
CMP000079,"team, shipment TRK7864256 abhi tak move hi nahi hua fir bhi order summary aur actual item me mismatch hai very disappointing",Delivery Delay,Negative,Critical,75% Hindi / 25% English
CMP000080,"plz look into, mujhe Noida se order kiya tha wishlist me add to ho gaya but sync nahi hua 2499 rupaye ka order tha isko seriously lo",Wishlist,Neutral,Medium,35% Hindi / 65% English
CMP000081,"plz help, mujhe Nagpur se order kiya tha offer page pe cashback dikhaya aur baad me gayab 3499 rupaye ka order tha order no 190025 hope you understaur",Cashback,Negative,Low,45% Hindi / 55% English
CMP000082,"urgent,  free delivery offer apply nahi hua but oder summary aur actual item me mismatch hai tracking id TRK4094587 order no 343118 💔 ab kya karu!",Coupon Issue,Negative,High,55% Hindi / 45% English
CMP000083,"team, seller ne used item ship kar diya fir bhi kisi ne update dene ki bhi zarurat nahi samjhi 2499 rupaye ka order tha 😭 plzz resolve this",Seller Complaint,Negative,Critical,60% Hindi / 40% English
CMP000084,"plz look into, mujhe Nagpur se order kiya tha seal khula hua tha aur item damage dikha order no 749498 ⚠️ waiting for reply...",Damaged Product,Negative,High,60% Hindi / 40% English
CMP000085,"yrr, seller ne used item ship kar diya waiting for reply",Seller Complaint,Negative,High,60% Hindi / 40% English
CMP000086,"please look into, mujhe Raipur se order kiya tha invoice me 2 items the but parcel me 1 hi mila still parcel ka status 48 ghante se same hai order no 700556 very disappointing",Missing Item,Negative,Critical,55% Hindi / 45% English
CMP000087,"madam, email verify nahi ho raha tab bhi delivery boy ne call bhi nahi kiya 3499 rupaye ka order tha isko seriously lo",Account/Login,Negative,High,40% Hindi / 60% English
CMP000088,mujhe Raipur se order kiya tha password reset link expired bol rha h still mera time aur paisa dono waste hua plzz resolve this??,Account/Login,Negative,Medium,30% Hindi / 70% English
CMP000089,"yrr, mujhe Patna se order kiya tha delivery date cross ho gaya but parcel kuch nahi aya tab bhi parcel ka status 48 ghante se same hai tracking id TRK9014480 ☹️ plzz resolve this??",Delivery Delay,Negative,Medium,75% Hindi / 25% English
CMP000090,"plz  look into, mujhe Raipur se order kiya tha message karne pe seller reply hi nahi karta lekin kisi ne update dene ki bhi zarurat nahi samjhi 😒 need immediate help",Seller Complaint,Negative,Critical,60% Hindi / 40% English
CMP000091,"team, seller ne misleading photo dala tha thanks but no thanks",Seller Complaint,Negative,High,60% Hindi / 40% English
CMP000092,"urgent, mujhe Gurgaon se order kiya tha app frequently lag kar rahi hai still parcel ka status 48 ghante se same hai 🥲 jaldi fix kro...",App Performance,Negative,Medium,25% Hindi / 75% English
CMP000093,"urgent, mujhe Ahmedabad se order kiya tha OTP mangne se pehle hi status update kar diya tab bhi maine 2 baar complaint raise kiya but same canned reply mil rha h order no 635593 🤦 plzz resolve this?",Courier Experience,Negative,Medium,60% Hindi / 40% English
CMP000094,"plz help, exchange request me size change nahi ho raha fir bhi mera time aur paisa dono waste hua 199 rupaye ka order tha need immediate help",Exchange,Negative,Medium,60% Hindi / 40% English
CMP000095,overall experience bahut inconsistent raha fir bhi mera time aur paisa dono waste hua orrder no 529954 isko seriously lo!!,Other,Negative,Low,50% Hindi / 50% English
CMP000096,"sir, return approve karne me itna time kyu lag rha h aur parcel ka status 48 ghante se same hai 😤 plz expdite?",Return,Negative,Critical,65% Hindi / 35% English
CMP000097,"bhai, old item bheja aur naya wala delay kar diya tab bhi app pe jo dikhaya gaya tha wo reality se match nahi karta tracking id TRK5191831 jaldi fix kro?",Exchange,Negative,Medium,55% Hindi / 45% English
CMP000098,"dear team, mujhe toy order kiya tha par hoodie bhej diya but mera time aur paisa dono waste hua 1999 rupaye ka order tha ab kya karu",Wrong Product,Negative,Medium,45% Hindi / 55% English
CMP000099,"team, mujhe Lucknow se order kiya tha app to chal rhi h but service quality weak hai tab bhi app pe jo dikhaya gaya tha wo reality se match nahi karta 😒 very disappointing",Other,Negative,High,50% Hindi / 50% English
CMP000100,"urgent,  diffrence amount pay kiya fir bhi exchange process stuck h 999 rupaye ka order tha jaldi fix kro",Exchange,Negative,Medium,55% Hindi / 45% English
CMP000101,"promo code invalid bol rha h though code sahi tha but details me bola tha original quality, par aisa laga local copy h isko seriously lo!!",Coupon Issue,Negative,High,45% Hindi / 55% English
CMP000102,item out of stock dikh raha hai but ads me available aur parcel ka status 48 ghante se same hai order no 290926 😑 plzz resolve this,Stock Issue,Negative,Low,35% Hindi / 65% English
CMP000103,"bhai, mujhe Pune se order kiya tha delivery partner ka status confuse kar rha h lekin chat support me sirf bot hi bot hai, koi live agent nahi 😤 hope you understand",Tracking Issue,Negative,High,50% Hindi / 50% English
CMP000104,"team, mujhe Noida se order kiya tha courier staff ne wrong address bolke return mark kar diya tab bhi order summary aur actual item me mismatch hai 799 rupaye ka order tha tracking id TRK4187406 😡 need immediate help",Courier Experience,Negative,Medium,60% Hindi / 40% English
CMP000105,"team,  mujhe Delhi se order kiya tha cashback promise hua tha but credit nahi hua tracking id TRK7224691 waiting for reply",Cashback,Negative,Medium,45% Hindi / 55% English
CMP000106,"kindly check, wishlist suggestions irrelevant aa rahi hain tab bhi parcel ka status 48 ghante se same hai 599 rupaye ka order tha order no 347088 plz expedite",Wishlist,Neutral,Medium,50% Hindi / 50% English
CMP000107,"kindly check, app to chal rhi h but service quality weak hai fir bhi parcel ka status 48 ghante se same hai order no 683390 😭 isko seriously lo",Other,Negative,Low,50% Hindi / 50% English
CMP000108,"team, mujhe Raipur se order kiya tha product page pe 999 tha but pay time 1199 hua ⚠️ need immediate help",Price Mismatch,Negative,High,45% Hindi / 55% English
CMP000109,"madam,  mujhe Ahmedabad se order kiya tha cancel button kaam hi nahi kar raha ⚠️ jaldi fix kro",Subscription,Negative,High,35% Hindi / 65% English
CMP000110,"hello, pickup slot aaya but rider ne cancel kar diya but maine 2 baar complaint raise kiya but same canned reply mil rha h 399 rupaye ka order tha 🥲 thanks but no thanks",Return Pickup,Negative,High,55% Hindi / 45% English
CMP000111,"please look into, mujhe Nagpur se order kiya tha gift pack expected tha but normal dirty box aaya and mera time aur paisa dono waste hua 599 rupaye ka order tha hope you understand...",Packaging,Negative,Medium,65% Hindi / 35% English
CMP000112,"hello, original product ka naam tha but duplicate nikla still app pe jo dikhaya gaya tha wo reality se match nahi karta 😡 isko seriously lo",Fraud/Scam,Negative,Critical,50% Hindi / 50% English
CMP000113,"madam, mujhe Bhopal se order kiya tha accessories missing the, charger aur cable dono nahi mile aur details me bola tha original quality, par aisa laga local copy h 599 rupaye ka order tha 😑 need immediate help!!",Missing Item,Negative,Critical,65% Hindi / 35% English
CMP000114,"bhai, discount show hua par final amoount same raha order no 431752 jaldi fix kro!",Coupon Issue,Negative,Medium,55% Hindi / 45% English
CMP000115,"bai, mujhe Raipur se order kiya tha parces handle bahut rough tarike se hote h need immediate help",Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP000116,"team, mujhe Nagpur se order kiya tha exchange request me size change nahi ho raha waiting for reply!",Exchange,Negative,Medium,55% Hindi / 45% English
CMP000117,wallet offer claim nahi ho raha tracking id TRK7874568 order no 971889 😡 waiting for reply!,Cashback,Negative,Low,55% Hindi / 45% English
CMP000118,"plz help, search results load hi nahi hote 😤 please expedite",App Bug,Negative,High,25% Hindi / 75% English
CMP000119,"bhai, mujhe Gurgaon se order kiya tha colour aur variant totally alag nikla lekin delivery boy ne call bhi nahi kiya tracking id TRK8351152 very disappointing",Wrong Product,Negative,Medium,55% Hindi / 45% English
CMP000120,"sir, address correct tha fir bhi pickup miss ho gaya 2499 rupaye ka order tha order no 605339 thanks but no thanks",Return Pickup,Negative,High,55% Hindi / 45% English
CMP000121,mujhe  jeans order kiya tha par notebook bhej diya waiting for reply,Wrong Product,Negative,High,55% Hindi / 45% English
CMP000122,"madam, mujhe Gurgaon se order kiya tha app 5.1.0 pe baar baar crash ho rha h tab bhi app pe jo dikhaya gaya tha wo reality se match nahi karta tracking id TRK3356346 💔 ab kya karu",App Bug,Negative,Critical,25% Hindi / 75% English
CMP000123,"hello, courier wale baar baar reschedule kar rahe h lekin details me bola tha original quality, par aisa laga local copy h plz expedite",Delivery Delay,Negative,Medium,75% Hindi / 25% English
CMP000124,"plz look into, address correct tha fir bhi pickup miss ho gaya fir bhi details me bola tha original quality, par aisa laga local copy h hope you understaur",Return Pickup,Negative,Critical,60% Hindi / 40% English
CMP000125,"team,  order 802812 1 din se pending h lekin maine 2 baar complaint raise kiya but same canned reply mil rha h ab kya karu",Delivery Delay,Negative,Critical,70% Hindi / 30% English
CMP000126,mujhe  Ranchi se order kiya tha package me smmell aa rahi thi aur sab messy tha 3499 rupye ka order tha order no 156415 thanks but no thanks,Packaging,Negative,Medium,65% Hindi / 35% English
CMP000127,same tracking number pe multiple parcels dikh rahe hain but order summary aur actual item me mismatch hai 🤦 very disappointing,Fraud/Scam,Negative,Critical,60% Hindi / 40% English
CMP000128,mujhe Surat se order kiya tha app very slow hai especially checkout pe aur app pe jo dikhaya gaya tha wo reality se match nahi karta order no 504620 🥲 jaldi fix kro,App Performance,Negative,High,25% Hindi / 75% English
CMP000129,"team, address correct tha fir bhi pickup miss ho gaya lekin mera time aur paisa dono waste hua 3499 rupaye ka order tha 🙄 thanks but no thanks",Return Pickup,Negative,Critical,60% Hindi / 40% English
CMP000130,"madam, product mismatch hai aur seller ne ignore kar diya still kisi ne update dene ki bhi zarurat nahi samjhi very disappointing",Wrong Product,Negative,High,45% Hindi / 55% English
CMP000131,"please look into, mujhe Lucknow se order kiya tha product mismatch hai aur seller ne ignore kar diya aur app pe jo dikhaya gaya tha wo reality se match nahi karta 😭 thanks but no thanks",Wrong Product,Negative,Medium,55% Hindi / 45% English
CMP000132,"team, mujhe Mumbai se order kiya tha coupon lagate hi page freeze ho jata h aur details me bola tha original quality, par aisa laga locaal copy h 🙄 plz expedite??",App Bug,Negative,Critical,35% Hindi / 65% English
CMP000133,"plz look into, account lock ho gaya bina reason order no 610626 plzz resolve this...",Account/Login,Negative,High,40% Hindi / 60% English
CMP000134,"sir, size selected hamesha sold out bol deta h fir bhi parcel ka status 48 ghante se same hai 😭 thanks but no thanks??",Stock Issue,Negative,Medium,40% Hindi / 60% English
CMP000135,"mujhe Noida se order kiya tha refund 2499 ka promise kiya tha but abhi tak nahi aaya lekin chat support me sirf bot hi bot hai, koi live agent nahi hope you understand",Refund,Negative,High,55% Hindi / 45% English
CMP000136,"yrr,  otp aa hi nahi raha lekin chat support me sirf bot hi bot hai, koi live agent nahi order no 639535 😑 ab kya karu",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP000137,"urgent, app pe price alag tha aur checkout pe mehnga ho gaya still kisi ne update dene ki bhi zarurat nahi smjhi tracking id TRK9081054 very disappointing",Price Mismatch,Negative,Medium,55% Hindi / 45% English
CMP000138,"kindly check, amount 199 cut hua but transaction history me mismatch hai tab bhi order summary aur actual item me mismatch hai tracking id TRK8239315 order no 665482 ⚠️ isko seriously lo!",Payment Issue,Negative,Critical,60% Hindi / 40% English
CMP000139,"urgent, search bar typo ignore nahi karta aur no resullt de deta h fir bhi order summary aur actual item me mismatch hai 🤦 need immediate help",Search/Filter,Negative,Low,35% Hindi / 65% English
CMP000140,"sir, mujhe Raipur se order kiya tha packing opened lag rahi thi aur item गायब tha aur order summary aur actual item me mismatch hai 799 rupaye ka order tha waiting for reply",Missing Item,Negative,High,65% Hindi / 35% English
CMP000141,"madam, email verify nahi ho raha jaldi fix kro",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP000142,account  lock ho gaya bina reason need imediate help,Account/Login,Negative,High,30% Hindi / 70% English
CMP000143,"dear team, delivery partner ka status confuse kar rha h still mera time aur paisa dono waste hua tracking id TRK6737688 ab kya karu??",Tracking Issue,Negative,High,60% Hindi / 40% English
CMP000144,"madam,  mujhe Lucknow se order kiya tha product page pe 999 tha but pay time 1199 hua fir bhi order summary aur actual item me mismatch hai 🤦 plz expedite",Price Mismatch,Negative,Medium,45% Hindi / 55% English
CMP000145,"dear  team, invoice me 2 items the but parcel me 1 hi mila fir bhi mera time aur paisa dono waste hua 799 rupaye ka order tha tracking id TRK4085559 hope you understaur...",Missing Item,Negative,Critical,65% Hindi / 35% English
CMP000146,"team, saved item open karte hi disappear ho jata h aur chat support me sirf bot hi bot hai, koi live agent nahi waiting for reply",Wishlist,Neutral,Medium,50% Hindi / 50% English
CMP000147,"hello,  mujhe Gurgaon se order kiya tha offer page pe cashhback dikhaya aur baad me gayab still app pe jo dikhaya gaya tha wo reality se mtch nahi karta 😑 plzz resolve this!",Cashback,Negative,Medium,55% Hindi / 45% English
CMP000148,"madam, mujhe Pune se order kiya tha offer page pe cashback dikhaya aur baad me gayab but delivery boy ne call bhi nahi kiya 299 rupaye ka order tha ab kya karu",Cashback,Negative,Low,55% Hindi / 45% English
CMP000149,"kindly check, mujhe Surat se order kiya tha wishlist suggestions irrelevant aa rahi hain lekin delivry boy ne call bhi nahi kiya 1999 rupaye ka order tha ab kya karu",Wishlist,Neutral,Low,50% Hindi / 50% English
CMP000150,"plz  look into, mujhe Lucknow se order kiya tha support team issue smajh hi nahi rahi still mera time aur paiisa dono waste hua 3499 rupaye ka order tha tracking id TRRK7538471 order no 362035 ab kya karu?",Customer Support,Negative,High,50% Hindi / 50% English
CMP000151,"hello, app to chal rhi h but service quality weak hai tab bhi parcel ka status 48 ghante se same hai 199 rupaye ka order tha plzz resolve this",Other,Negative,Medium,60% Hindi / 40% English
CMP000152,"mujhe Nagpur se order kiya tha email pe 3 baar likha, reply bas auto-generated aaya aur mera time aur paisa dono waste hua 1299 rupaye ka order tha need immediate help!",Customer Support,Negative,High,70% Hindi / 30% English
CMP000153,"yrr, return request T91937 3 din se pending padi hai order no 819265 very disappointing",Return,Negative,High,65% Hindi / 35% English
CMP000154,wishlist suggestions irrelevant aa rahi hain but kisi ne update dene ki bhi zarurat nahi samjhi 😡 thanks but no thanks??,Wishlist,Neutral,Low,50% Hindi / 50% English
