text,category,urgency,is_synthetic
"PAYMENT PROOF SHARE KAR CHUKA HU, FIR BHI ORDER HOLD PE KYU h???",Payment_Invoice,High,False
Refund status kaise chck karu?,Returns_Refunds,Low,True
ACOUNT DELETED DIKHA RAHA HAI aur active orders missing hain. Restore now.,Account_Technical,High,False
App not updating hai! Data load nahi ho raha! URGENT!,Account_Technical,High,True
Rider ne abusive language use kii. This needs urgent disciplinary action.,Delivery_Issue,High,False
ordr cancel karne ka option kahan hai?,Order_Status,Low,True
"prduct bent ho gaya hai, pura bent ho gaya ho gaya hai",Wrong_Damaged_Product,Medium,True
ordr showing error hai but delivery date cross ho gayi,Order_Status,Medium,True
"ordr delivered wrong item, exchange karo please",Wrong_Damaged_Product,Medium,True
Retrn reason edit kar sakte hain?,Returns_Refunds,Low,False
"Order confirm nahi ho raha, ek mahina se try kar raha hu! ESCALATE KARO!",Order_Status,High,True
"Mera original order costly tha, cheap duplicate bhej diya. Refund TODAY..",Wrong_Damaged_Product,High,False
Payment successful dikha raha hai but order pending hai,Payment_Invoice,Medium,True
Refund disabled hai but paisa abhi tak nahi aaya,Returns_Refunds,Medium,True
refnd ke liye koi charge hai kya?,Returns_Refunds,Low,True
Invoice me kya kya details hoti hai?,Payment_Invoice,Low,True
Refund status kaise chck karu?,Returns_Refunds,Low,True
"refnd amount ₹1000 hona chahiye, check karo",Returns_Refunds,Medium,True
Return item wapas bhej diya! Refund kab aayega? URGENT!,Returns_Refunds,High,True
"ACOUNT HACK HOGYA LAGTA HAI!!! Unknown orders dikh rahe hain, block it NOWWW.",Account_Technical,High,False
Account kaise banau?,Account_Technical,Low,True
Shoe pair me dono sizes same nahin hain.,Wrong_Damaged_Product,Low,False
Package society gate pe chhod sakte ho kyaa?,Delivery_Issue,Low,False
"Wrong product aaya hai, exchange karo",Wrong_Damaged_Product,Medium,True
Delivery ke baad package damage ho gaya nikla,Delivery_Issue,Medium,True
"Aaj last promised date hai, abi tak dispatch bhi nhi hua! Escalate this now.",Order_Status,High,False
MANAGER SE BAAT KARO! Order 7 din se not updating hai!,Order_Status,High,True
"Delivery 15 din se delay ho rahi hai, kab aayegi?",Delivery_Issue,Medium,True
Mera order broken hai product aaya! right now!,Wrong_Damaged_Product,High,True
My personal address is showing in another acount!!! Escalate privacy breach immediatly.,Account_Technical,High,False
"Different brand ka charger aaya, compatible nhi hai.",Wrong_Damaged_Product,Low,False
Payment fail ho gaya but wallet balance cut gaya! bahut urgent hai!,Payment_Invoice,High,True
Refund ₹500 expected tha but ₹7500 aaya! corect KARO!,Returns_Refunds,High,True
"Delivery 1 hafta se delay ho rahi hai, kab aayegi?",Delivery_Issue,Medium,True
Refund kitne din me aata hai?,Returns_Refunds,Low,True
Order dent pada hai product aaya hai! right now! Exchange karo!,Wrong_Damaged_Product,High,True
Package delivered but outer box completely crushed tha,Delivery_Issue,Medium,True
paymnt fail ho gaya toh kya karu?,Payment_Invoice,Low,True
"transction failed dikha raha hai, bank se amount debit ho chuka hai.",Payment_Invoice,Medium,False
"Item pe chota sa scratch h, replacement possible hai?",Wrong_Damaged_Product,Low,False
"Product kharab hae hai, jaldi dekho",Wrong_Damaged_Product,Medium,True
"Order status disabled hai, expected date kab hai?",Order_Status,Medium,True
Payment 10 din pay kiya but order confirm nahi hua! jaldi karo!,Payment_Invoice,High,True
"Order confirm nahin ho raha, bht din se try kar raha hu! ESCALATE KARO!",Order_Status,High,True
"Password reset link blocked hai, naya password set nahi ho raha",Account_Technical,Medium,True
Refund kaise check karu?,Returns_Refunds,Low,True
Coupon apply hua but final invoice mein show hoga kya?,Payment_Invoice,Low,False
Medical device return karna h aur deadline aaj hai. Turant pickup arrange karo.,Returns_Refunds,High,False
"Order me se kuch items missing hain, please complete karo",Wrong_Damaged_Product,Medium,True
"Wrng refund amount diya, ₹6,000 missing hai. Escalate to finance team immediately.",Returns_Refunds,High,False
Har baar fake tracking update kyu de rahe ho?? Consumer complaint karunga..,Order_Status,High,False
Refund 15 din se process ho raha hai! KAB HOGA? URGENT!,Returns_Refunds,High,True
Invoice me company name add krna hai.,Payment_Invoice,Low,False
Cash diya tha delivery boy ko but app unpaid dikha raha!!! Resolve fraud issue now..,Payment_Invoice,High,False
"Delivery 5 din ho rahi hai, pehle pehle se hoti thi",Delivery_Issue,Medium,True
Payment double hua hai! abhee karo! refnd karo!,Payment_Invoice,High,True
Package delivered but kisi aur ke naam pe dikha raha hai,Delivery_Issue,Medium,True
"Return item damaged aaya tha, refund chahiye",Returns_Refunds,Medium,True
Refund ₹2000 ka hona chahiye but sirf ₹9000 aaya,Returns_Refunds,Medium,True
"Size issue hai, simple exchange krna hai.",Returns_Refunds,Low,False
oder place kaise karu?,Order_Status,Low,True
"Delivery 29 din lag rahe hain, pehle 2 din mein aata tha",Delivery_Issue,Medium,True
Account security isue hai! Someone else login kar raha! critical hai!,Account_Technical,High,True
Delivery boy bina call kiye attempt failed mark karke chala gaya..,Delivery_Issue,Medium,False
Parcl out for delivery tha fir suddenly rescheduled ho gaya.,Delivery_Issue,Medium,False
"Order stopped hai, consumer court me jaunga agar bahut din tak resolve nai hua!",Order_Status,High,True
Password kaise strong banau?,Account_Technical,Low,True
Return item ek mahina se return karne ki koshish kar raha hu,Returns_Refunds,Medium,True
Login password reset kaa option bata do.,Account_Technical,Low,False
"Return request 15 din sey pending hai, approve karo",Returns_Refunds,Medium,True
App ne mera GST data kisi aur buisness ke saath mix kar dia. Major privacy issue!,Account_Technical,High,False
oder 18 baar not updating ho raha hai! Fix karo ya paisa wapas karo!,Order_Status,High,True
"Invoice me address galat hai, update karo",Payment_Invoice,Medium,True
Product exchange k badle refund choose kar sakta hu?,Returns_Refunds,Low,False
Payment successful but order cancel dikha raha hai! turant resolve karo!,Payment_Invoice,High,True
"Order confirm ho gaya hai, ab kya hoga?",Order_Status,Low,True
Order dashboard aur SMS me alag-alag status aa raha h.,Order_Status,Medium,False
Invoice amount galat hai! please jaldi! Recalculate karo!,Payment_Invoice,High,True
Delivry person rude tha aur package security pe fek ke chala gaya.,Delivery_Issue,Medium,False
Delivery ke baad product exchange ho sakta hai kya?,Delivery_Issue,Low,True
d invoice PDF is corrupted and won't open.,Payment_Invoice,Medium,False
Order status kaise check karu?,Order_Status,Low,True
Delivery 16 din se delay hai! BAHUT URGENT!,Delivery_Issue,High,True
ORDER LOST h KYA??? Support reply hi nahi kar raha.,Order_Status,High,False
Order failed hai but confirmation email nahi aaya,Order_Status,Medium,True
Delivery agent ne wrong person ko de diya! FRAUD! turant resolve karo!,Delivery_Issue,High,True
Account delete karna hai but option nahee mil raha! right now!,Account_Technical,High,True
Cosmetic bottle half empty receive hui..,Wrong_Damaged_Product,Medium,False
Trackng me destination reached hai but delivery date nahii mili.,Order_Status,Medium,False
Invoice email pe resend kar do plsss.,Payment_Invoice,Low,False
payement disabled hai but order not placed hai! very urgent!,Payment_Invoice,High,True
"Shoes ke box me left pair do baar hai, right shoe nai.",Wrong_Damaged_Product,Medium,False
DELIVERY 6 DIN LATE HAI. Har din fake promise band kro!,Delivery_Issue,High,False
Refund usually kitne working days leta h?,Returns_Refunds,Low,False
Gate entry ke liye flat number update karna h.,Delivery_Issue,Low,False
Delivery ke baad product return ho sakta hai kya?,Delivery_Issue,Low,True
Refund status update kaise hota hai?,Returns_Refunds,Low,True
"Listing premium model kii thi, cheaper variant bhej diya.",Wrong_Damaged_Product,Medium,False
"Glass bottle shattered thi, haath cut ho gaya! urgenttt action lo.",Wrong_Damaged_Product,High,False
Product scratch aaya hae hai! very urgent! Full refund do!,Wrong_Damaged_Product,High,True
Can I pay using two diffrent methods?,Payment_Invoice,Low,False
"Toy ke multiple pieces missing hain, child use nahin kar sakta.",Wrong_Damaged_Product,Medium,False
Status baar baar change horha hai processing se packed aur wapas processing.,Order_Status,Medium,False
"Bank referance number share nai hua, refund trace nai kar pa raha.",Returns_Refunds,Medium,False
Refund process kaise hota hai?,Returns_Refunds,Low,True
"App crash ho raha hai, 1 hafta sey bar bar ho raha hai",Account_Technical,Medium,True
"App disabled hai, data load nahi ho raha",Account_Technical,Medium,True
Product scratch aaya hai hai! emergency hai! Legal action lunga!,Wrong_Damaged_Product,High,True
Driver extra ₹500 maang raha hai warna parcel nhi dega. Escalate immediatly!,Delivery_Issue,High,False
delievery slot book kaise karu?,Delivery_Issue,Low,True
ordr place kiya tha but abhi tak disabled,Order_Status,Medium,True
Invoice 3 din se generate nahee ho raha! URGENT!,Payment_Invoice,High,True
Payment receipt PDF me mil sakti h?,Payment_Invoice,Low,False
Profile kaise dekhu?,Account_Technical,Low,True
wrng item ka status kaise check karu?,Wrong_Damaged_Product,Low,True
"Card twice charge hua, rent ke pese kam pad gaye. Turant refund karo.",Payment_Invoice,High,False
Invoice ordr delivry ke baad generate hota hai kya?,Payment_Invoice,Low,False
Order placed hogya na? Confirmation check krna tha.,Order_Status,Low,False
Account showing error hai but koi response nahi mil raha,Account_Technical,Medium,True
Account me kya kiya details hai?,Account_Technical,Low,True
Product phat gaya hai! bht der ho gayi! Immediate action lo!,Wrong_Damaged_Product,High,True
Refund process kaise hota hai?,Returns_Refunds,Low,True
Product reurn karne ke liye kya kya chahiye?,Wrong_Damaged_Product,Low,True
delievery slot book kaise karu?,Delivery_Issue,Low,True
Package ka location kaise check kru?,Order_Status,Low,False
App update ke baad sab pending ho gaya! very urgent!,Account_Technical,High,True
"Wishlist sync nahi hui, refresh kaise karu??",Account_Technical,Low,False
"delivr 13 din lag rahe hain, pehle 9 din mein aata tha",Delivery_Issue,Medium,True
Status delivered hai but CCTV me koi courier nhi aaya. URGENT resolve karo.,Delivery_Issue,High,False
Five days se trackng frozen hai!!! Jaldiii actual status btao.,Order_Status,High,False
Refund ₹1500 expected tha but ₹4500 aaya! corrct KARO!,Returns_Refunds,High,True
Promo discount checkout pe tha but payment k baad remove ho gaya.,Payment_Invoice,Medium,False
Payment methods kya kya hai?,Payment_Invoice,Low,True
Refund not updating hai but paisa abhi tak nahi aaya,Returns_Refunds,Medium,True
refnd kaise check karu?,Returns_Refunds,Low,True
Fingerprint login enable kaise hota h?,Account_Technical,Low,False
Return request cancel karni ho to option kaha h?,Returns_Refunds,Low,False
Courier wale kaa contact number kaha dikhega?,Delivery_Issue,Low,False
Login kaise karu?,Account_Technical,Low,True
App update ke baad payment page load nahin ho raha.,Account_Technical,Medium,False
Mera order delivered but product broken hai hai!,Wrong_Damaged_Product,High,True
"Muje proper tracking update chaiye, last scan purana hai.",Order_Status,Medium,False
Account security issue hai! Someone else login kar raha! immediately!,Account_Technical,High,True
Order place kiya tha but abhi tak blocked,Order_Status,Medium,True
Login nahi ho raha! jaldi karo! 7 baar try kiya!,Account_Technical,High,True
"Delivery kaafi din ho rahi hai, pehle pehle se hoti thi",Delivery_Issue,Medium,True
Refund process kaise hota hai?,Wrong_Damaged_Product,Low,True
"Order delivered but product cracked hai hai, check karo",Wrong_Damaged_Product,Medium,True
"Delivery date 29 din se delay hai, koi updte do",Delivery_Issue,Medium,True
Order 17 baar pending ho raha hai! Fix karo ya paisa wapas karo!,Order_Status,High,True
"Mera ordr scratch aaya he ho ke aaya hai, replace karo",Wrong_Damaged_Product,Medium,True
Delivery promise tod diya aur stats bhi update nai. MANAGER SE CONNECT KARO.,Order_Status,High,False
Suport chat crash ho rahi aur urgenttt medicine order edit nahin kar pa raha.,Account_Technical,High,False
Package delivered but seal already broken tha,Delivery_Issue,Medium,True
Order crushed product aaya hai! immediately! Exchange karo!,Wrong_Damaged_Product,High,True
delivr boy ko instruction kaise de?,Delivery_Issue,Low,True
"Mera order damage ho gaya product aaya hai, theek karo",Wrong_Damaged_Product,Medium,True
Invoice ke liye kya kya chahiye?,Payment_Invoice,Low,True
"Order pending hai, kya problem hai?",Order_Status,Medium,True
Exchange prodct dispatch nahi hua even after retrn pickup.,Returns_Refunds,Medium,False
"reurn item deliver ho chuka hai, refound process start karo",Returns_Refunds,Medium,True
Order cancel karne ka option kahan hai?,Order_Status,Low,True
Package delivered but kisi aur ke naam pe dikha raha hai,Delivery_Issue,Medium,True
Return item wapas bhej diya! Refund kab aayega? URGENT!,Returns_Refunds,High,True
Delivery date change ho gayi bina meri marzi ke,Delivery_Issue,Medium,True
Refund amount bank mein credit nahin ho raha! turant resolve karo!,Returns_Refunds,High,True
Payment ke baad oder confirm hota hai kya?,Payment_Invoice,Low,True
Refund process kaise hota hai?,Wrong_Damaged_Product,Low,True
"ordr wrong size aaya hai, exchange kaise karu?",Wrong_Damaged_Product,Low,True
Return label kaha se download hota h?,Returns_Refunds,Low,False
"Mera prepaid parcel missing hai, ₹8,499 ka loss horha hai. Escalate immediatly.",Order_Status,High,False
Payment 500 kiya but 9000 kat gaya! abhi karo!,Payment_Invoice,High,True
Wrong item pickup hua but refund orginal item ka process nhi hua.,Returns_Refunds,Medium,False
UPI paymnt success screenshot hai but app failed dikha raha.,Payment_Invoice,Medium,False
"Parcel wrong route pe ja raha hai, adress se 500 km door! Jaldiii correct karo.",Order_Status,High,False
"Order auto-confirm hua tha, fir bhi shipment create nai hua.",Order_Status,Medium,False
Return policy ke according refund milna chahiye! please jaldi!,Returns_Refunds,High,True
Account kaise banau?,Account_Technical,Low,True
Delivery ke liye kya kya chahiye?,Delivery_Issue,Low,True
"Teen baar complaint kii, koi action nahi. Ab social media pe escalate kar raha hu!!!",Delivery_Issue,High,False
delivry 5 din se delay hai! urgnt resolve karo!,Delivery_Issue,High,True
Order 17 din se transit me hai! Kya ho raha hai? URGENT!,Order_Status,High,True
"Wrong prescription glasses deliver kiye, mujhe urgently correct pair chahiye..",Wrong_Damaged_Product,High,False
"Payment double charge hua hai, refund karo",Payment_Invoice,Medium,True
Invoice me product serial number nahi diya h.,Payment_Invoice,Medium,False
Refund usually kitne working days leta h?,Returns_Refunds,Low,True
refound completed bol rahe ho but paisa nahi aaya! FRAUD hai!,Returns_Refunds,High,True
"Prodct battery swollen hai, fire hazard ho sakta hai! urgenttt pickup..",Wrong_Damaged_Product,High,False
Laptop box mein bricks nikli!!! Police complaint aur consumer case kar raha hu.,Wrong_Damaged_Product,High,False
Payment stopped hai but confirmation nai mila! URGENT!,Payment_Invoice,High,True
"delivr instructions follow nahi kiye, gate pe chhod ke chala gaya",Delivery_Issue,Medium,True
App ek mahina se not updating hai! bht URGENT!,Account_Technical,High,True
"delivr ke baad product missing hai, empty box aaya",Delivery_Issue,Medium,True
Package delivered but outer box completely crushed tha,Delivery_Issue,Medium,True
Product missing hai! Box toot gaya tha! right now!,Wrong_Damaged_Product,High,True
Checkout bug ke wajah se wrong address pe costly ordr place hua. Cancel urgently!,Account_Technical,High,False
"Teen baar contact kiya, phir bhi exact stats nai mila. FORAN senior team ko bhejo.",Order_Status,High,False
Wrong item ka status kaise check karu?,Wrong_Damaged_Product,Low,True
Wrong prodct deliver hua! turant resolve karo! Correct item bhejo!,Wrong_Damaged_Product,High,True
delivry boy ne extra money manga! FRAUD hai! fatafat!,Delivery_Issue,High,True
"ordr me msising item hai, check kro",Order_Status,Medium,True
"COD ordr hai, UPI se delivery time payment chalega?",Delivery_Issue,Low,False
"Order not responding hai, bht din sey pareshan hu! TURANT KARO!",Order_Status,High,True
"Do din se tracking same jagah stuck h, please actual status check karo.",Order_Status,Medium,False
"Wallet balance ₹7,500 gayab h after login error!!! Urgent investigation.",Account_Technical,High,False
"Order 10 din pe place kiya, expected date kb hai?",Order_Status,Medium,True
Order ka live status available hai kia?,Order_Status,Low,False
"Kal pura din wait kiya, delivry person aya hi nahi.",Delivery_Issue,Medium,False
"Item used jaisa lag raha hai, retrn karna hai.",Wrong_Damaged_Product,Low,False
"Aaj final deadline hai, parcl abhi tak hub pe hai!!! Same-day deliver karo.",Delivery_Issue,High,False
"mra order ka product dent pada hae hai, refund ya replacement do",Wrong_Damaged_Product,Medium,True
AC unit dented aur gas leak jaisi smell aa rahi hai. Technician/pickup abi bhejo!,Wrong_Damaged_Product,High,False
Food packet torn tha aur contents spill ho gaye..,Wrong_Damaged_Product,Medium,False
"Product not as described hai, please check",Wrong_Damaged_Product,Medium,True
Refund ₹8000 expected tha but ₹7500 aaya! CORRECT KARO!,Returns_Refunds,High,True
"Payment link expired aaraha hai, new link generate karo.",Payment_Invoice,Medium,False
"Order msising hai product aaya hai, exchange karoo",Wrong_Damaged_Product,Medium,True
Amount debit message teen baar aaya!!! Bank account almost empty hogya.,Payment_Invoice,High,False
Seller is asking me to close the retrn before replacement.,Returns_Refunds,Medium,False
Order place kaise karu?,Order_Status,Low,True
Acount me kisi aur ka name show ho raha hai.,Account_Technical,Medium,False
"Mera order me wrong item aaya hai, exchange karo jaldi",Wrong_Damaged_Product,Medium,True
Refund ke liye kiya kya documents chahiye?,Returns_Refunds,Low,True
"DOUBLE CHARGE HUA HAI!!! ₹18,000 extra deduct hua, refnd NOW.",Payment_Invoice,High,False
